NO, PROVINSI, KABUPATEN, TIPE RS, NAMA RS, STATUS
1, Nanggroe Aceh Darussalam, Kota Banda Aceh, Rumah Sakit Umum, RSU Dr. Zainoel Abidin, Paripurna
2, Nanggroe Aceh Darussalam, Kab. Aceh Tengah, Rumah Sakit Umum Daerah, RSUD Datu Beru Takengon, Paripurna
3, Nanggroe Aceh Darussalam, Kab. Bener Meriah, Rumah Sakit Umum Daerah, RSUD Muyang Kute Redelong, Madya
4, Nanggroe Aceh Darussalam, Kab. Aceh Timur, Rumah Sakit Umum Daerah, RSUD Idi Rayeuk (RSUD dr. Zubir Mahmud), Dasar
5, Nanggroe Aceh Darussalam, Kab. Pidie, Rumah Sakit Umum Daerah, RSUD TGK Chik Ditiro Sigli, Dasar
6, Sumatera Utara, Kota Medan, Rumah Sakit Umum, RS H. Adam Malik, Paripurna
7, Sumatera Utara, Kota Medan, Rumah Sakit Umum, RSU Dr Pirngadi, Utama
8, Sumatera Utara, Kab.Deli Serdang, Rumah Sakit Umum Daerah, RSUD Deli Serdang, Utama
9, Sumatera Utara, Kota Tebing Tinggi, Rumah Sakit Umum Daerah, RSUD Dr. H.Kumpulan Pane, Dasar
10, Sumatera Utara, Tapanuli Tengah, Rumah Sakit Umum Daerah, RSUD Pandan, Perdana
11, Sumatera Barat, Kota Padang, Rumah Sakit Umum, RS Dr. M. Djamil, Paripurna
12, Sumatera Barat, Kota Padang, Rumah Sakit Jiwa, RS Jiwa Prof.Dr. Hasan Basri Saanin Datuk Tan Pari, Paripurna
13, Sumatera Barat, Kota Bukittinggi, Rumah Sakit Umum Daerah, RSUD Dr. Achmad Mochtar, Paripurna
14, Sumatera Barat, Kota Solok, Rumah Sakit Umum Daerah, RSUD Solok, Utama
15, Sumatera Barat, Kab. Sijunjung, Rumah Sakit Umum Daerah, RSUD Kab Sijunjung, Perdana
16, Riau, Kab. Bengkalis, Rumah Sakit Umum Daerah, RSUD Kec.Mandau, Utama
17, Riau, Kota Pekanbaru, Rumah Sakit Umum Daerah, RSUD Petala Bumi, Perdana
18, Riau, Kota Pekanbaru, Rumah Sakit Jiwa, RS Jiwa Tampan, Paripurna
19, Riau, Kab. Pelalawan, Rumah Sakit Umum Daerah, RSUD Selasih Riau, Dasar
20, Riau, Kab. Kepulauan Meranti, Rumah Sakit Umum Daerah, RSUD Kab. Kepulauan Meranti, Perdana
21, Jambi, Kota Jambi, Rumah Sakit Umum, RSU Raden Mattaher Jambi, Paripurna
22, Jambi, Kota Jambi, Rumah Sakit Umum Daerah, RSUD H. Abdul Manap, Madya
23, Jambi, Kota Jambi, Rumah Sakit Jiwa, RS Jiwa Jambi, Madya
24, Jambi, Kab. Bungo, Rumah Sakit Umum Daerah, RSUD H. Hanafi/Muara Bungo, Madya
25, Jambi, Kab. Sarolangun, Rumah Sakit Umum Daerah, RSUD Prof.DR.H.M.Chatib Quzwain, Perdana
26, Jambi, Kab. Tanjung Jabung Timur, Rumah Sakit Umum, RSU Nurdin Hamzah, Perdana
27, Jambi, Kab. Tebo, Rumah Sakit Umum Daerah, RSUD Sultan Taha Saifudin, Perdana
28, Sumatera Selatan, Kota Palembang, Rumah Sakit Umum Daerah, RSUD Palembang Bari, Paripurna
29, Sumatera Selatan, Kota Palembang, Rumah Sakit Umum, RS Dr. Mohammad Hoesin, Paripurna
30, Sumatera Selatan, Kota Prabumulih, Rumah Sakit Umum Daerah, RSUD Prabumulih, Utama
31, Sumatera Selatan, Kab. Ogan Komering Ulu, Rumah Sakit Umum Daerah, RSUD Dr. Ibnu Sutowo Baturaja, Utama
32, Sumatera Selatan, Kab. Musi Banyuasin, Rumah Sakit Umum Daerah, RSUD Sekayu, Madya
33, Sumatera Selatan, Kab. Ogan Komering Ulu Timur, Rumah Sakit Umum Daerah, RSUD Oku Timur (Gumawang), Perdana
34, Bengkulu, Kota Bengkulu, Rumah Sakit Umum Daerah, RSUD Dr M Yunus Bengkulu, Paripurna
35, Bengkulu, Kota Bengkulu, Rumah Sakit Umum Daerah, RSUD KOTA BENGKULU, Perdana
36, Bengkulu, Kab Kepahiang, Rumah Sakit Umum Daerah, RSUD Kepahiang, Perdana
37, Bengkulu, Kab. Bengkulu Utara, Rumah Sakit Umum Daerah, RSUD Arga Makmur, Perdana
38, Lampung, Kota Metro, Rumah Sakit Umum Daerah, RSUD Ahmad Yani,Metro, Paripurna
39, Lampung, Kota Bandar Lampung, Rumah Sakit Umum Daerah, RSUD Dr H Abdul Moeloek, Paripurna
40, Lampung, Kab. Tulang Bawang, Rumah Sakit Umum Daerah, RSUD Menggala Tulang Bawang, Madya
41, Lampung, Kab. Lampung Timur, Rumah Sakit Umum Daerah, RSUD Sukadana, Perdana
42, DKI Jakarta, Jakarta Selatan, Rumah Sakit Umum, RS Ketergantungan Obat, Madya
43, DKI Jakarta, Jakarta Selatan, Rumah Sakit Umum, RSU Kecamatan Mampang Prapatan, Perdana
44, DKI Jakarta, Jakarta Selatan, Rumah Sakit Umum, RSU Kecamatan Jagakarsa, Perdana
45, DKI Jakarta, Jakarta Selatan, Rumah Sakit Umum, RSU Kecamatan Pesanggrahan, Perdana
46, DKI Jakarta, Jakarta Selatan, Rumah Sakit Umum, RSU Kecamatan Tebet, Perdana
47, DKI Jakarta, Jakarta Barat, Rumah Sakit Umum Daerah, RSUD Cengkareng, Paripurna
48, DKI Jakarta, Jakarta Barat, Rumah Sakit Jiwa, RS Jiwa Dr. Soeharto Heerjan, Utama
49, DKI Jakarta, Jakarta Barat, Rumah Sakit Umum, RSU Kecamatan Kembangan, Perdana
50, DKI Jakarta, Jakarta Barat, Rumah Sakit Umum, RSU Kecamatan Kalideres, Perdana
51, DKI Jakarta, Kota Jakarta Pusat, Rumah Sakit Umum, RSU Kecamatan Johar Baru, Perdana
52, DKI Jakarta, Kota Jakarta Pusat, Rumah Sakit Umum, RS Dr. Cipto Mangunkusumo, Paripurna
53, DKI Jakarta, Kota Jakarta Pusat, Rumah Sakit Umum, RSU Tarakan, Paripurna
54, DKI Jakarta, Kota Jakarta Pusat, Rumah Sakit Umum, RSU Kecamatan Cempaka Putih, Perdana
55, DKI Jakarta, Kota Jakarta Pusat, Rumah Sakit Umum, RSU Kecamatan Kemayoran, Perdana
56, DKI Jakarta, Kota Jakarta Pusat, Rumah Sakit Umum, RSU Kecamatan Sawah Besar, Perdana
57, DKI Jakarta, Jakarta Utara, Rumah Sakit Umum, RS Penyakit Infeksi Prof. Dr.Sulianti Saroso, Utama
58, DKI Jakarta, Jakarta Utara, Rumah Sakit Umum, RSU Kecamatan Koja, Perdana
59, DKI Jakarta, Jakarta Utara, Rumah Sakit Umum, RSU Kecamatan Pademangan, Perdana
60, DKI Jakarta, Jakarta Utara, Rumah Sakit Umum, RSU Kecamatan Cilincing, Perdana
61, Jawa Barat, Kota Cirebon, Rumah Sakit Umum Daerah, RSUD Gunung Jati, Paripurna
62, Jawa Barat, Kab.Cirebon, Rumah Sakit Umum Daerah, RSUD Waled, Paripurna
63, Jawa Barat, Kota Cimahi, Rumah Sakit Umum, RSU Cibabat, Paripurna
64, Jawa Barat, Kab. Bandung Barat, Rumah Sakit Jiwa, RS Jiwa Provinsi Jawa Barat, Paripurna
65, Jawa Barat, Kab. Sumedang, Rumah Sakit Umum Daerah, RSUD Sumedang, Paripurna
66, Jawa Barat, Kota Bandung, Rumah Sakit Khusus, RSK Ibu & Anak Kota Bandung, Paripurna
67, Jawa Barat, Kota Bandung, Rumah Sakit Umum, RS Dr. Hasan Sadikin, Paripurna
68, Jawa Barat, Kota Bandung, Rumah Sakit Umum Daerah, RSUD Ujung Berung, Utama
69, Jawa Barat, Kota Bandung, Rumah Sakit Khusus, RSK Gigi dan Mulut Kota Bandung, Perdana
70, Jawa Barat, Kota Bogor, Rumah Sakit Jiwa, RS Jiwa Dr. H. Marzoeki Mahdi, Paripurna
71, Jawa Barat, Kab. Bogor, Rumah Sakit Umum Daerah, RSUD Cibinong, Paripurna
72, Jawa Barat, Kab. Bogor, Rumah Sakit Umum, RSU Ciawi, Madya
73, Jawa Barat, Kab. Bogor, Rumah Sakit Umum Daerah, RSUD CILEUNGSI KAB. BOGOR, Perdana
74, Jawa Barat, Kab. Sukabumi, Rumah Sakit Umum Daerah, RSUD Sekarwangi, Paripurna
75, Jawa Barat, Kab. Sukabumi, Rumah Sakit Umum Daerah, RSUD Jampang Kulon, Perdana
76, Jawa Barat, Kab. Sukabumi, Rumah Sakit Umum Daerah, RSUD Pelabuhan Ratu, Utama
77, Jawa Barat, Kab. Karawang, Rumah Sakit Umum Daerah, RSUD Karawang, Paripurna
78, Jawa Barat, Kota Sukabumi, Rumah Sakit Umum Daerah, RSUD R Syamsudin SH, Paripurna
79, Jawa Barat, Kota Bekasi, Rumah Sakit Umum Daerah, RSUD Bekasi, Utama
80, Jawa Barat, Kab. Bandung, Rumah Sakit Umum Daerah, RSUD Al Ihsan Provinsi Jawa Barat, Utama
81, Jawa Barat, Kab. Bandung, Rumah Sakit Umum Daerah, RSUD Majalaya, Utama
82, Jawa Barat, Kota Depok, Rumah Sakit Umum Daerah, RSUD Kota Depok, Madya
83, Jawa Barat, Kab. Cianjur, Rumah Sakit Umum Daerah, RSUD Cimacan, Perdana
84, Jawa Tengah, Kab. Rembang, Rumah Sakit Umum Daerah, RSUD dr. R. Soetrasno Rembang, Paripurna
85, Jawa Tengah, Kota Surakarta, Rumah Sakit Umum, RSU Dr. Moewardi Surakarta, Paripurna
86, Jawa Tengah, Kota Surakarta, Rumah Sakit Jiwa, RS Jiwa Surakarta, Paripurna
87, Jawa Tengah, Kota Semarang, Rumah Sakit Umum Daerah, RSUD Tugurejo Semarang, Paripurna
88, Jawa Tengah, Kota Semarang, Rumah Sakit Jiwa, RS Jiwa dr. Amino Gondohutomo, Paripurna
89, Jawa Tengah, Kota Semarang, Rumah Sakit Umum, RS Dr. Kariadi, Paripurna
90, Jawa Tengah, Kota Semarang, Rumah Sakit Umum Daerah, RSUD Kota Semarang, Paripurna
91, Jawa Tengah, Kab. Klaten, Rumah Sakit Jiwa, "RS Jiwa Dr.R.M.Soedjarwadi
Klaten", Paripurna
92, Jawa Tengah, Kab. Klaten, Rumah Sakit Umum, RS dr. Soeradji Tirtonegoro, Paripurna
93, Jawa Tengah, Kota Salatiga, Rumah Sakit Umum, RS Paru dr. Ario Wirawan*, Paripurna
94, Jawa Tengah, Kab.Banyumas, Rumah Sakit Umum Daerah, RSUD Prof Dr. M Soekarjo, Paripurna
95, Jawa Tengah, Kab.Banyumas, Rumah Sakit Umum Daerah, RSUD Banyumas, Utama
96, Jawa Tengah, Kab.Wonosobo, Rumah Sakit Umum, RSU Wonosobo, Paripurna
97, Jawa Tengah, Kab.Semarang, Rumah Sakit Umum Daerah, RSUD Ambarawa, Paripurna
98, Jawa Tengah, Kab.Semarang, Rumah Sakit Umum Daerah, RSUD Ungaran, Paripurna
99, Jawa Tengah, Kota Tegal, Rumah Sakit Umum Daerah, RSUD Kardinah, Utama
100, Jawa Tengah, Kab. Tegal, Rumah Sakit Umum, RSU Dr. H.RM Soeselo W, Paripurna
101, Jawa Tengah, Kab. Boyolali, Rumah Sakit Umum Daerah, RSUD Pandan Arang Boyolali, Paripurna
102, Jawa Tengah, Kab. Boyolali, Rumah Sakit Umum Daerah, RSUD Simo, Perdana
103, Jawa Tengah, Kab. Wonogiri, Rumah Sakit Umum Daerah, RSUD Dr. Soediran MS Wonogiri, Paripurna
104, Jawa Tengah, Kab. Purworejo, Rumah Sakit Umum Daerah, RSUD dr. Tjitrowardojo Purworejo, Utama
105, Jawa Tengah, Kab. Pekalongan, Rumah Sakit Umum Daerah, RSUD Kraton Kab. Pekalongan, Paripurna
106, Jawa Tengah, Kab. Pekalongan, Rumah Sakit Umum Daerah, RSUD Kajen Kab. Pekalongan, Utama
107, Jawa Tengah, Kab. Pemalang, Rumah Sakit Umum Daerah, RSUD Dr. M Ashasi Pemalang, Utama
108, Jawa Tengah, Kab. Kudus, Rumah Sakit Umum Daerah, RSUD dr. Loekmono Hadi, Utama
109, Jawa Tengah, Kab. Banjarnegara, Rumah Sakit Umum Daerah, RSUD Hj. ANNA LASMANAH, Utama
110, Jawa Tengah, Kota Magelang, Rumah Sakit Umum Daerah, RSUD Tidar, Utama
111, Jawa Tengah, Kab. Magelang, Rumah Sakit Umum Daerah, RSUD Muntilan, Madya
112, Jawa Tengah, Kab. Jepara, Rumah Sakit Umum Daerah, RSUD Kelet Provinsi Jawa Tengah, Paripurna
113, Jawa Tengah, Kab. Jepara, Rumah Sakit Umum Daerah, RSUD R. A. Kartini, Paripurna
114, Jawa Tengah, Kab. Pati, Rumah Sakit Umum Daerah, RSUD RAA Soewondo, Paripurna
115, Jawa Tengah, Kab. Kebumen, Rumah Sakit Umum Daerah, RSUD Kebumen, Paripurna
116, Jawa Tengah, Kab. Purbalingga, Rumah Sakit Umum Daerah, "RSUD dr. R. GOETENG
TAROENADIBRATA", Paripurna
117, Jawa Tengah, Kab. Sukoharjo, Rumah Sakit Umum, "RS Orthopedi Prof. Dr. R.
Soeharso", Paripurna
118, Jawa Tengah, Kab. Sukoharjo, Rumah Sakit Umum Daerah, RSUD Sukoharjo, Paripurna
119, Jawa Tengah, Kab. Cilacap, Rumah Sakit Umum, RSU Cilacap, Paripurna
120, Jawa Tengah, Kab. Demak, Rumah Sakit Umum, RSU Sunan Kalijaga, Paripurna
121, Jawa Tengah, Kab. Kendal, Rumah Sakit Umum Daerah, RSUD Dr. H. Soewondo Kendal, Paripurna
122, Jawa Tengah, Kab. Batang, Rumah Sakit Umum Daerah, RSUD Kab. Batang, Paripurna
123, Jawa Tengah, Kab. Sragen, Rumah Sakit Umum Daerah, RSUD dr. Soehadi Prijonegoro, Paripurna
